"name";"url"
"punjabi pop";"https://embed.spotify.com/?uri=spotify:playlist:0a8gfAB5pIeR5x2ln5ARq0"
"rap metal";"https://embed.spotify.com/?uri=spotify:playlist:6VKTnBP8zsyEmP1Sk7TvMm"
"trap argentino";"https://embed.spotify.com/?uri=spotify:playlist:0t2kp4dTSFBUA8doPFtUuY"
"new romantic";"https://embed.spotify.com/?uri=spotify:playlist:4c8FDUUCm33WYC9xztAGYT"
"new wave";"https://embed.spotify.com/?uri=spotify:playlist:1ydxatu4wrujF0H2hGU8IR"
"uk dance";"https://embed.spotify.com/?uri=spotify:playlist:5kDzf9eWk24U16EBkTDdpb"
"slap house";"https://embed.spotify.com/?uri=spotify:playlist:1TAxbbKCs6rlEQcrdVWYmW"
"modern alternative rock";"https://embed.spotify.com/?uri=spotify:playlist:3PMlHfN3H3GmOcTgEcGwJT"
"indie pop";"https://embed.spotify.com/?uri=spotify:playlist:1aYiM4zLmBuFq0Fg6NQb6a"
"indie rock";"https://embed.spotify.com/?uri=spotify:playlist:4XXr357Jej7eUBh7XPK8hb"
"house";"https://embed.spotify.com/?uri=spotify:playlist:6AzCASXpbvX5o3F8yaj1y0"
"conscious hip hop";"https://embed.spotify.com/?uri=spotify:playlist:3IU0ZFCSvKNqASPNsWoPuj"
"modern country rock";"https://embed.spotify.com/?uri=spotify:playlist:01b3JSy4UfA2iiKodhAXse"
"east coast hip hop";"https://embed.spotify.com/?uri=spotify:playlist:61KJ6kPuE41yTp9SrHvWbZ"
"folk rock";"https://embed.spotify.com/?uri=spotify:playlist:0TTsY3zQAYz6NppoHDR5MA"
"metal";"https://embed.spotify.com/?uri=spotify:playlist:3pBfUFu8MkyiCYyZe849Ks"
"turkish pop";"https://embed.spotify.com/?uri=spotify:playlist:4oKodlbJBRKSssO8LhsisY"
"bedroom pop";"https://embed.spotify.com/?uri=spotify:playlist:339zjWDksACL7sNs2UehlX"
"desi pop";"https://embed.spotify.com/?uri=spotify:playlist:7JHxvhw9XPNKqtCt70xnAf"
"italian hip hop";"https://embed.spotify.com/?uri=spotify:playlist:5kMRm3YJv7ZyX1VTmVZpdN"
"hoerspiel";"https://embed.spotify.com/?uri=spotify:playlist:6XDdeW5toilpyJXBi0Plxl"
"afrobeats";"https://embed.spotify.com/?uri=spotify:playlist:1KEVi9iz4neinmHtysrz7A"
"adult standards";"https://embed.spotify.com/?uri=spotify:playlist:0FmeDxPXfsozPAyWv9uFjL"
"post-teen pop";"https://embed.spotify.com/?uri=spotify:playlist:10FCW9lj0NdeoYI5VVvVtY"
"neo soul";"https://embed.spotify.com/?uri=spotify:playlist:2zxYQBTWiXgpQEyQggYSTm"
"sped up";"https://embed.spotify.com/?uri=spotify:playlist:2Ot7SIZg72RfUphP7V6zqs"
"cloud rap";"https://embed.spotify.com/?uri=spotify:playlist:1sIcT9bfCD4C53ZjKXWy7M"
"viral pop";"https://embed.spotify.com/?uri=spotify:playlist:0tAsyMQoefUL8DWNn6xkAk"
"talent show";"https://embed.spotify.com/?uri=spotify:playlist:1lMgl0D1HZVvtq16pB13ew"
"spanish pop";"https://embed.spotify.com/?uri=spotify:playlist:40auwv5lX0xeL2w7Kr6BoT"
"punk";"https://embed.spotify.com/?uri=spotify:playlist:17qQT0G3yFjOJ02wWZaNCw"
"alternative r&b";"https://embed.spotify.com/?uri=spotify:playlist:0Hwb2a9DJdom4yoe5V41K9"
"grupera";"https://embed.spotify.com/?uri=spotify:playlist:1MBLuaTt9FmjgW3AVAlIKo"
"west coast rap";"https://embed.spotify.com/?uri=spotify:playlist:3tSxvStT2zgdgPcTxLdI3g"
"opm";"https://embed.spotify.com/?uri=spotify:playlist:2LfEVQ7ETewcpbNa2IVsH7"
"boy band";"https://embed.spotify.com/?uri=spotify:playlist:5MqoSHN1RNzdKd5T1QCN8S"
"psychedelic rock";"https://embed.spotify.com/?uri=spotify:playlist:7mXRIC5bSB6ZWOEPNfP0hl"
"glam metal";"https://embed.spotify.com/?uri=spotify:playlist:7yC6AO4CRgiFDjhYUkPUzX"
"stomp and holler";"https://embed.spotify.com/?uri=spotify:playlist:3zVZ3GsfiYp0vlVazHcDXI"
"desi hip hop";"https://embed.spotify.com/?uri=spotify:playlist:7hCUgCmtC02mQe4lUg5ZSs"
"ccm";"https://embed.spotify.com/?uri=spotify:playlist:5prvXHLGfLtWJ7tB4W8Fvl"
"rage rap";"https://embed.spotify.com/?uri=spotify:playlist:54j0DPxOen62HcPCc2Pmoe"
"hip pop";"https://embed.spotify.com/?uri=spotify:playlist:1btVAcL1TR8anpF72xgvjB"
